epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,343.121,1.88326,1.30435,1.34967,0.62174,0.61641,0.56343,0.20015,2.10273,1.5247,1.49047,0.0012862,0.0012862,0.0012862
43,351.184,2.00646,1.34699,1.41659,0.76397,0.675,0.68125,0.23638,2.09966,1.42719,1.4825,0.0012562,0.0012562,0.0012562
44,359.359,1.95065,1.25334,1.40842,0.61195,0.53228,0.51992,0.17583,2.12926,1.62828,1.51407,0.00122596,0.00122596,0.00122596
45,367.434,1.90682,1.31193,1.36968,0.7116,0.64772,0.63789,0.21117,2.02098,1.44341,1.45524,0.00119551,0.00119551,0.00119551
46,375.506,1.90964,1.28357,1.39658,0.66838,0.6,0.61768,0.21576,2.07609,1.40156,1.47656,0.00116487,0.00116487,0.00116487
47,383.631,1.8524,1.22205,1.31154,0.64504,0.5875,0.59348,0.19026,2.12257,1.54305,1.48666,0.00113408,0.00113408,0.00113408
48,391.698,1.8851,1.23825,1.35416,0.64096,0.5875,0.5749,0.17839,2.11525,1.60711,1.48148,0.00110317,0.00110317,0.00110317
49,399.795,1.84334,1.20047,1.34547,0.71371,0.6625,0.64028,0.20957,2.11569,1.51084,1.47437,0.00107216,0.00107216,0.00107216
50,407.868,1.86101,1.18833,1.36346,0.68207,0.6125,0.58745,0.20247,2.15699,1.5261,1.50159,0.0010411,0.0010411,0.0010411
51,415.966,1.84607,1.20206,1.34592,0.60474,0.57376,0.54011,0.1768,2.11435,1.58013,1.4809,0.00101,0.00101,0.00101
52,424.062,1.86879,1.21531,1.37059,0.72437,0.62416,0.63353,0.21157,2.14157,1.44384,1.49649,0.000978903,0.000978903,0.000978903
53,432.154,1.91005,1.18465,1.37029,0.67725,0.6,0.57335,0.18593,2.30063,1.5107,1.59288,0.000947837,0.000947837,0.000947837
54,440.289,1.81717,1.19115,1.32961,0.6553,0.6,0.5955,0.19905,2.1729,1.54042,1.52648,0.000916833,0.000916833,0.000916833
55,448.383,1.83177,1.183,1.32852,0.72142,0.65,0.63343,0.20894,2.15093,1.46678,1.51539,0.00088592,0.00088592,0.00088592
56,456.468,1.79351,1.16097,1.3478,0.67647,0.57501,0.55984,0.18775,2.23709,1.53325,1.56691,0.00085513,0.00085513,0.00085513
57,464.745,1.78931,1.18057,1.34515,0.66198,0.56304,0.57433,0.20552,2.21892,1.4872,1.56399,0.000824492,0.000824492,0.000824492
58,472.835,1.82361,1.12533,1.31977,0.75424,0.6125,0.61872,0.19008,2.28383,1.48502,1.60993,0.000794038,0.000794038,0.000794038
59,481.081,1.80713,1.13508,1.32709,0.80158,0.625,0.68092,0.22107,2.16468,1.48255,1.54512,0.000763797,0.000763797,0.000763797
60,489.172,1.82534,1.10535,1.34387,0.72899,0.5375,0.57858,0.1991,2.19502,1.50473,1.5569,0.000733799,0.000733799,0.000733799
61,497.281,1.81163,1.14111,1.34977,0.62093,0.59383,0.56959,0.18057,2.29817,1.54352,1.61703,0.000704073,0.000704073,0.000704073
62,505.388,1.7583,1.08528,1.32111,0.72252,0.61845,0.6368,0.21717,2.1809,1.47638,1.55082,0.000674649,0.000674649,0.000674649
63,513.477,1.80056,1.14453,1.33403,0.64795,0.675,0.63989,0.21316,2.15935,1.49656,1.5287,0.000645557,0.000645557,0.000645557
64,521.553,1.79303,1.10791,1.33255,0.56632,0.5125,0.48589,0.17428,2.24773,1.61042,1.5834,0.000616824,0.000616824,0.000616824
65,529.694,1.79013,1.12838,1.29807,0.70409,0.62459,0.61727,0.20461,2.17903,1.49149,1.53956,0.000588479,0.000588479,0.000588479
66,537.784,1.7553,1.09548,1.30942,0.64877,0.65,0.62585,0.2129,2.21294,1.49679,1.56187,0.000560549,0.000560549,0.000560549
67,545.895,1.77893,1.10566,1.28397,0.58622,0.65,0.58559,0.18936,2.31826,1.52408,1.64787,0.000533064,0.000533064,0.000533064
68,553.966,1.7486,1.07242,1.31176,0.62956,0.6,0.56405,0.1873,2.33823,1.53508,1.65938,0.000506049,0.000506049,0.000506049
69,562.042,1.77004,1.06722,1.30646,0.66319,0.5875,0.57316,0.20095,2.2656,1.47703,1.59983,0.000479531,0.000479531,0.000479531
70,570.144,1.80463,1.07382,1.30184,0.64744,0.6875,0.61548,0.21128,2.23951,1.44543,1.58665,0.000453537,0.000453537,0.000453537
71,578.236,1.70932,1.04322,1.29079,0.61906,0.60943,0.56638,0.18394,2.32294,1.5481,1.63418,0.000428093,0.000428093,0.000428093
72,586.313,1.74256,1.07305,1.30249,0.68797,0.5625,0.60756,0.20277,2.29044,1.51923,1.61329,0.000403222,0.000403222,0.000403222
73,594.438,1.70409,1.04975,1.29577,0.67481,0.5625,0.58949,0.19266,2.25555,1.53118,1.59445,0.00037895,0.00037895,0.00037895
